sodium	calcium	lipides	proteines
353.5	72.6	26.3	21
238	209.8	25.1	22.6
112	259.4	33.3	26.6
336	211.1	28.9	20.2
314	215.9	19.5	23.4
256	264	28.8	23
192	87.2	27.9	19.5
276	132.9	25.4	17.8
172	182.3	32.5	26
92	220.5	32.4	29.2
222	79.2	25.6	20.5
148	272.2	24.7	24.7
60	308.2	29.4	29.4
160	72.8	18.5	11.1
390	168.5	24	16.8
41	146.3	3.5	8.3
25	94.8	7.8	7
311	236.7	29.1	20.4
285	219	29.5	23.6
240	334.6	27.5	35.7
22	78.2	10.4	9.4
223	156.7	23.4	21.1
232	178.9	28	22.4
272	202.3	24.6	19.7
432	162	31.2	18.7
205	261	23.3	23.3
252	125.5	27.3	21.8
140	218	29.3	17.6
91	215.7	3.4	4.1
